"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"33996","LOC494127","MIR3196","MIR1184-2","ASL",33996,32910,33203,33277,29969
"33997","LOC497256","MIR3197","MIR1184-3","NEMF",33997,32911,33204,33278,29970
"33998","LOC550113","MIR3198-1","MIR1185-1","LINC02659",33998,32912,33205,33279,29972
"33999","LOC554249","MIR3198-2","MIR1185-2","C11orf53",33999,32913,33206,33280,29974
"34000","LOC574538","MIR3199-1","MIR1193","ARMCX4",34000,32914,33207,33281,29976
"34001","LOC606724","MIR3199-2","MIR1197","ADSL",34001,32915,33208,33282,29978
"34002","LOC613266","MIR32","MIR1199","HNF4A",34002,32916,33209,33283,29980
"34003","LOC641746","MIR3200","MIR1200","TATDN1",34003,32917,33210,33284,29982
"34004","LOC642131","MIR3201","MIR1202","MIR519D",34004,32918,33211,33285,29983
"34005","LOC642696","MIR3202-1","MIR1203","USP17L26",34005,32919,33212,33286,29984
"34006","LOC642929","MIR3202-2","MIR1204","LOC105370991",34006,32920,33214,33287,29986
"34007","LOC642943","MIR320A","MIR1205","NMNAT3",34007,32922,33216,33288,29988
"34008","LOC643441","MIR320B1","MIR1206","LOC100507389",34008,32923,33217,33289,29990
"34009","LOC643711","MIR320B2","MIR1207","LINC01885",34009,32924,33218,33290,29992
"34010","LOC643802","MIR320C1","MIR1208","LOC105375524",34010,32925,33219,33291,29994
"34011","LOC644090","MIR320C2","MIR12113","PTCSC2",34011,32926,33220,33292,29995
"34012","LOC644277","MIR320D2","MIR12114","LOC101927018",34012,32927,33222,33293,29997
"34013","LOC644634","MIR323A","MIR12115","SMYD5",34013,32928,33223,33294,29998
"34014","LOC644669","MIR323B","MIR12116","LINC01710",34014,32929,33224,33295,30000
"34015","LOC644936","MIR325","MIR12117","LOC101929935",34015,32930,33225,33296,30002
"34016","LOC645177","MIR325HG","MIR12118","LINC01405",34016,32931,33226,33297,30004
"34017","LOC645188","MIR326","MIR12119","LOC101927418",34017,32932,33227,33299,30005
"34018","LOC645202","MIR328","MIR12120","LOC101927476",34018,32933,33228,33300,30007
"34019","LOC646030","MIR329-1","MIR12121","LOC107986519",34019,32934,33229,33301,30008
"34020","LOC646588","MIR329-2","MIR12123","KLF8",34020,32935,33230,33302,30010
"34021","LOC646736","MIR330","MIR12124","LHX2",34021,32937,33232,33303,30012
"34022","LOC646813","MIR331","MIR12125","PNMA1",34022,32939,33233,33304,30014
"34023","LOC647264","MIR335","MIR12126","LINC01014",34023,32940,33234,33305,30016
"34024","LOC649133","MIR337","MIR12127","CAMSAP3",34024,32941,33235,33306,30017
"34025","LOC649352","MIR338","MIR12128","LOC101928234",34025,32942,33236,33307,30019
"34026","LOC650226","MIR339","MIR12129","MMP10",34026,32944,33238,33309,30021
"34027","LOC654780","MIR33A","MIR12130","MIR1295B",34027,32945,33239,33310,30022
"34028","LOC727978","MIR33B","MIR12131","CDSN",34028,32947,33241,33311,30024
"34029","LOC728660","MIR340","MIR12132","TMEM244",34029,32948,33242,33312,30026
"34030","LOC728739","MIR342","MIR12133","MIR369",34030,32949,33243,33313,30027
"34031","LOC728755","MIR345","MIR12135","BLOC1S6",34031,32950,33244,33314,30029
"34032","LOC729558","MIR346","MIR122","LY6D",34032,32951,33245,33315,30031
"34033","LOC729609","MIR34A","MIR1224","CLDN22",34033,32952,33247,33316,30033
"34034","LOC729681","MIR34B","MIR1227","ACTL6B",34034,32953,33248,33317,30035
"34035","LOC729815","MIR34C","MIR1228","LOC101928517",34035,32954,33249,33318,30037
"34036","LOC729930","MIR3529","MIR1229","NBPF20",34036,32955,33250,33319,30038
"34037","LOC729966","MIR3591","MIR1231","FCER2",34037,32956,33251,33320,30040
"34038","LOC729968","MIR3605","MIR1233-1","ZNF322",34038,32958,33252,33321,30042
"34039","LOC730100","MIR3606","MIR1233-2","MIR4315-2",34039,32959,33253,33322,30043
"34040","LOC780529","MIR3609","MIR1234","NUFIP1",34040,32960,33254,33323,30045
"34041","LOC91370","MIR361","MIR1236","GUSBP9",34041,32961,33255,33324,30047
"34042","LOC93429","MIR3610","MIR1237","LOC107986315",34042,32962,33256,33325,30049
"34043","LORICRIN","MIR3611","MIR124-1","LOC647070",34043,32963,33257,33326,30051
"34044","LOXHD1","MIR3612","MIR124-2","SOWAHC",34044,32964,33258,33327,30053
"34045","LPA","MIR3613","MIR124-2HG","STK26",34045,32965,33259,33328,30054
"34046","LPGAT1-AS1","MIR3614","MIR124-3","LOC105375763",34046,32966,33260,33329,30056
"34047","LPO","MIR3615","MIR1243","LOC101929400",34047,32967,33261,33330,30058
"34048","LPP-AS1","MIR3616","MIR1244-1","SCARNA10",34048,32968,33262,33331,30060
"34049","LRAT","MIR3617","MIR1245B","DRAIC",34049,32969,33263,33332,30062
"34050","LRFN2","MIR3618","MIR1246","GPNMB",34050,32970,33264,33333,30064
"34051","LRG1","MIR3619","MIR1247","HOXD9",34051,32972,33265,33334,30066
"34052","LRIT1","MIR362","MIR1248","LOC107986735",34052,32973,33266,33335,30068
"34053","LRIT2","MIR3620","MIR1249","LOC107986309",34053,32974,33268,33337,30069
"34054","LRMP","MIR3621","MIR1250","SC5D",34054,32975,33269,33338,30071
"34055","LRP2","MIR3622A","MIR1251","LMOD1",34055,32976,33270,33339,30073
"34056","LRRC10","MIR3622B","MIR1252","PTBP3",34056,32977,33271,33340,30074
"34057","LRRC2-AS1","MIR363","MIR1253","DMBT1L1",34057,32978,33272,33341,30076
"34058","LRRC24","MIR3646","MIR1255A","MBD3",34058,32979,33273,33342,30078
"34059","LRRC26","MIR3648-1","MIR1255B1","RPL21P44",34059,32980,33274,33343,30080
"34060","LRRC30","MIR3648-2","MIR1255B2","BEST3",34060,32981,33275,33344,30082
"34061","LRRC37A5P","MIR3649","MIR1256","CALCB",34061,32982,33276,33345,30084
"34062","LRRC37A8P","MIR3650","MIR1257","CES4A",34062,32983,33277,33346,30086
"34063","LRRC38","MIR3651","MIR1258","ACSM5",34063,32984,33278,33347,30088
"34064","LRRC3B","MIR3652","MIR125A","MIR127",34064,32985,33279,33348,30089
"34065","LRRC4B","MIR3655","MIR126","PSPN",34065,32986,33280,33349,30091
"34066","LRRC52","MIR3657","MIR1260A","LOC105375501",34066,32987,33281,33350,30093
"34067","LRRC52-AS1","MIR3658","MIR1260B","C20orf27",34067,32988,33282,33351,30094
"34068","LRRC53","MIR3659","MIR1261","LOC112268263",34068,32989,33283,33352,30095
"34069","LRRC55","MIR365A","MIR1262","HSPA8",34069,32990,33284,33353,30097
"34070","LRRC7-AS1","MIR365B","MIR1263","LOC105379328",34070,32991,33285,33355,30098
"34071","LRRC72","MIR3660","MIR1264","C2orf88",34071,32992,33286,33356,30100
"34072","LRRC74A","MIR3661","MIR1265","LOC105375412",34072,32993,33287,33357,30102
"34073","LRRC77P","MIR3662","MIR1266","LOC105374408",34073,32995,33288,33358,30104
"34074","LRRC9","MIR3663","MIR1267","TXNDC5",34074,32996,33289,33359,30106
"34075","LRRK2-DT","MIR3663HG","MIR1268A","PDE4A",34075,32997,33290,33360,30108
"34076","LRRN2","MIR3664","MIR1268B","LOC102724949",34076,32998,33291,33361,30109
"34077","LRRTM1","MIR3665","MIR1269A","LOC105378450",34077,32999,33292,33362,30111
"34078","LRRTM4","MIR3666","MIR1269B","LOC105373231",34078,33000,33293,33363,30113
"34079","LRRTM4-AS1","MIR3667","MIR1270","LINC02428",34079,33001,33294,33364,30115
"34080","LRTM2","MIR3668","MIR1271","DNAJC3",34080,33002,33295,33365,30117
"34081","LSINCT5","MIR367","MIR1272","PDE8B",34081,33003,33296,33366,30119
"34082","LSMEM2","MIR3670-1","MIR1273C","SRSF7",34082,33004,33297,33367,30121
"34083","LSP1P3","MIR3670-2","MIR1273H","FAM153A",34083,33005,33298,33368,30123
"34084","LST1","MIR3670-3","MIR1275","LOC105378909",34084,33006,33299,33369,30125
"34085","LTA","MIR3670-4","MIR1276","LOC101927855",34085,33007,33301,33370,30127
"34086","LTB","MIR3671","MIR1277","FAM242B",34086,33008,33302,33371,30129
"34087","LTB4R2","MIR3672","MIR1278","ECH1",34087,33009,33303,33372,30131
"34088","LUNAR1","MIR3674","MIR1279","LOC101928636",34088,33010,33304,33373,30133
"34089","LUZP6","MIR3675","MIR128-1","LOC105374498",34089,33011,33305,33374,30135
"34090","LY6G6C","MIR3677","MIR128-2","BCLAF1",34090,33013,33306,33375,30137
"34091","LY6G6D","MIR3678","MIR1281","RELB",34091,33014,33307,33376,30139
"34092","LY6G6E","MIR3679","MIR1282","PERCC1",34092,33015,33308,33377,30140
"34093","LY6G6F","MIR3680-1","MIR1283-1","LOC105377035",34093,33016,33309,33378,30142
"34094","LY6G6F-LY6G6D","MIR3680-2","MIR1283-2","LOC105372918",34094,33017,33310,33379,30144
"34095","LY6H","MIR3681","MIR1284","LOC112267943",34095,33018,33311,33380,30146
"34096","LY6L","MIR3683","MIR1285-1","SAAL1",34096,33019,33312,33381,30148
"34097","LY75-CD302","MIR3684","MIR1285-2","RMND5B",34097,33020,33313,33382,30150
"34098","LY86","MIR3685","MIR1286","PEF1-AS1",34098,33022,33314,33383,30152
"34099","LY86-AS1","MIR3686","MIR1287","MIR12132",34099,33023,33315,33384,30153
"34100","LY9","MIR3688-1","MIR1288","LOC105371702",34100,33024,33316,33385,30155
"34101","LYNX1-SLURP2","MIR3688-2","MIR1289-2","DEDD2",34101,33025,33317,33386,30157
"34102","LYPD2","MIR3689A","MIR129-1","LINC01103",34102,33026,33318,33387,30159
"34103","LYPD4","MIR3689B","MIR129-2","GAGE2A",34103,33027,33319,33388,30160
"34104","LYPD9P","MIR3689C","MIR1290","PIH1D2",34104,33028,33320,33389,30161
"34105","LYZL1","MIR3689D1","MIR1291","OR52E4",34105,33029,33322,33390,30162
"34106","LYZL2","MIR3689D2","MIR1292","IDI2-AS1",34106,33030,33323,33391,30164
"34107","LYZL4","MIR3689E","MIR1293","PLEKHA3",34107,33031,33324,33392,30166
"34108","LYZL6","MIR3689F","MIR1294","MIR4509-2",34108,33032,33325,33393,30167
"34109","LZTS1-AS1","MIR369","MIR1295A","GKN1",34109,33033,33326,33394,30168
"34110","MAB21L4","MIR3690","MIR1295B","ZNF710-AS1",34110,33034,33327,33395,30170
"34111","MACC1-AS1","MIR3691","MIR1297","LOC105370956",34111,33035,33328,33396,30171
"34112","MACROD2-AS1","MIR3692","MIR1298","ATOH7",34112,33036,33329,33397,30173
"34113","MACROD2-IT1","MIR370","MIR1299","AGBL4-AS1",34113,33037,33330,33398,30175
"34114","MAEL","MIR3713","MIR1301","KLF5",34114,33038,33331,33399,30177
"34115","MAFA-AS1","MIR3714","MIR1302-1","LINC00526",34115,33039,33332,33400,30179
"34116","MAGEA1","MIR371A","MIR1302-10","LINC00901",34116,33040,33333,33401,30181
"34117","MAGEA10","MIR371B","MIR1302-11","LOC107986180",34117,33041,33334,33402,30183
"34118","MAGEA10-MAGEA5","MIR372","MIR1302-2","MIR3180-1",34118,33042,33335,33403,30184
"34119","MAGEA11","MIR373","MIR1302-2HG","SNORA58",34119,33043,33336,33404,30186
"34120","MAGEA12","MIR374A","MIR1302-3","MICOS10P1",34120,33044,33337,33405,30188
"34121","MAGEA2","MIR374B","MIR1302-4","MFSD1",34121,33045,33338,33406,30190
"34122","MAGEA2B","MIR374C","MIR1302-5","LINC01387",34122,33046,33339,33407,30191
"34123","MAGEA3","MIR375","MIR1302-6","CDKL4",34123,33047,33340,33408,30193
"34124","MAGEA4","MIR376A1","MIR1302-7","LOC105378098",34124,33048,33341,33409,30195
"34125","MAGEA4-AS1","MIR376A2","MIR1302-8","ZNRF2P1",34125,33049,33343,33410,30197
"34126","MAGEA5","MIR376B","MIR1302-9","MGP",34126,33050,33344,33411,30199
"34127","MAGEA6","MIR376C","MIR1303","LAMB2P1",34127,33051,33345,33412,30201
"34128","MAGEA8","MIR377","MIR1304","LOC105378620",34128,33052,33347,33414,30203
"34129","MAGEA8-AS1","MIR378A","MIR1305","LINC01679",34129,33053,33348,33415,30205
"34130","MAGEA9","MIR378B","MIR1306","TPD52",34130,33054,33349,33416,30207
"34131","MAGEA9B","MIR378C","MIR1307","LOC107985239",34131,33055,33350,33417,30209
"34132","MAGEB1","MIR378D1","MIR1321","LINC02117",34132,33056,33351,33418,30211
"34133","MAGEB10","MIR378D2","MIR1322","AIFM3",34133,33058,33352,33420,30213
"34134","MAGEB16","MIR378E","MIR1323","LDLR-AS1",34134,33059,33353,33421,30215
"34135","MAGEB18","MIR378F","MIR1324","NF1",34135,33060,33355,33422,30217
"34136","MAGEB2","MIR378G","MIR133A1","LOC102723968",34136,33061,33356,33423,30219
"34137","MAGEB3","MIR378H","MIR133A1HG","LOC105373372",34137,33063,33357,33424,30220
"34138","MAGEB4","MIR378I","MIR133A2","BTG2",34138,33065,33358,33425,30222
"34139","MAGEB5","MIR378J","MIR133B","LOC105370594",34139,33066,33359,33426,30224
"34140","MAGEB6","MIR379","MIR134","CAPSL",34140,33067,33360,33427,30226
"34141","MAGEC3","MIR380","MIR1343","WDR81",34141,33068,33361,33428,30228
"34142","MAGI1-AS1","MIR381","MIR135A1","ERVV-2",34142,33069,33362,33429,30230
"34143","MAGI1-IT1","MIR381HG","MIR135A2","ZGLP1",34143,33070,33363,33430,30232
"34144","MAGI2-AS2","MIR382","MIR135B","LOC107986031",34144,33071,33364,33431,30234
"34145","MAL2-AS1","MIR383","MIR137","LEO1",34145,33072,33365,33432,30236
"34146","MAMDC2-AS1","MIR384","MIR138-2","TDRD12",34146,33073,33366,33433,30238
"34147","MAPK15","MIR3907","MIR139","PROSER2-AS1",34147,33074,33367,33434,30240
"34148","MAPK4","MIR3908","MIR140","PPARA",34148,33075,33368,33435,30242
"34149","MAPK8IP1P2","MIR3909","MIR141","LINC02182",34149,33076,33369,33436,30244
"34150","MAPRE3-AS1","MIR3910-1","MIR142","BIRC6",34150,33077,33370,33437,30246
"34151","MAPT-AS1","MIR3910-2","MIR143","KRTAP9-1",34151,33078,33371,33438,30248
"34152","MAPT-IT1","MIR3911","MIR144","LOC105371203",34152,33080,33372,33440,30250
"34153","MARCHF10-DT","MIR3912","MIR1468","LOC105369892",34153,33081,33373,33441,30252
"34154","MARCHF11","MIR3913-1","MIR146A","CTU2",34154,33082,33374,33442,30254
"34155","MARCHF11-AS1","MIR3913-2","MIR146B","EBAG9",34155,33083,33375,33443,30255
"34156","MARCOL","MIR3914-1","MIR1470","LINC01227",34156,33084,33376,33444,30257
"34157","MAS1","MIR3914-2","MIR1471","MIR6740",34157,33085,33377,33445,30258
"34158","MAS1L","MIR3915","MIR147A","LINC01911",34158,33086,33378,33446,30260
"34159","MASCRNA","MIR3916","MIR147B","RAP1GDS1",34159,33088,33379,33447,30262
"34160","MAT1A","MIR3918","MIR148B","LOC105373914",34160,33089,33380,33448,30264
"34161","MBD3L1","MIR3919","MIR149","EFCAB14",34161,33090,33381,33449,30266
"34162","MBD3L2","MIR3920","MIR150","VPREB1",34162,33091,33382,33450,30267
"34163","MBD3L2B","MIR3921","MIR151A","RAB33B",34163,33092,33383,33451,30269
"34164","MBD3L4","MIR3922","MIR151B","COPS4",34164,33093,33384,33452,30271
"34165","MBD3L5","MIR3923","MIR152","CNPY4",34165,33094,33386,33453,30273
"34166","MC2R","MIR3924","MIR153-1","ZNF664",34166,33095,33387,33454,30275
"34167","MC3R","MIR3925","MIR153-2","FCRL2",34167,33096,33388,33455,30277
"34168","MCCD1","MIR3926-1","MIR1537","LOC107987441",34168,33097,33389,33457,30279
"34169","MCEMP1","MIR3926-2","MIR1539","LOC105371636",34169,33098,33390,33458,30281
"34170","MCF2L-AS1","MIR3927","MIR154","MIR548AV",34170,33099,33391,33459,30282
"34171","MCHR2","MIR3928","MIR155","MIR214",34171,33101,33392,33461,30283
"34172","MCHR2-AS1","MIR3929","MIR1587","ERBB3",34172,33102,33393,33462,30285
"34173","MCM8-AS1","MIR3934","MIR15A","HCN4",34173,33104,33394,33463,30287
"34174","MDC1-AS1","MIR3935","MIR16-1","RAMP3",34174,33105,33395,33464,30288
"34175","MDFIC2","MIR3936","MIR17","OR14C36",34175,33107,33396,33465,30289
"34176","MDS2","MIR3937","MIR181A1","LINC01672",34176,33108,33397,33466,30291
"34177","MECOM-AS1","MIR3938","MIR181A2","LCE4A",34177,33109,33398,33467,30293
"34178","MED15P9","MIR3939","MIR181B1","LINC02545",34178,33111,33399,33469,30295
"34179","MED4-AS1","MIR3940","MIR181C","LOC101927138",34179,33112,33400,33470,30297
"34180","MEF2B","MIR3941","MIR181D","KIAA0754",34180,33113,33401,33471,30299
"34181","MEF2C-AS2","MIR3942","MIR182","KDM5A",34181,33114,33402,33472,30301
"34182","MEI4","MIR3943","MIR1825","NCOA5",34182,33115,33403,33473,30303
"34183","MEIKIN","MIR3944","MIR1827","PRPF19",34183,33117,33404,33474,30305
"34184","MEP1A","MIR3945","MIR183","PDYN-AS1",34184,33118,33405,33475,30306
"34185","MESTIT1","MIR3960","MIR184","LOC105370715",34185,33119,33406,33476,30307
"34186","METTL11B","MIR3972","MIR1843","ISCA1",34186,33120,33407,33477,30309
"34187","METTL14-DT","MIR3973","MIR185","PPP1R14B",34187,33121,33408,33478,30311
"34188","METTL21C","MIR3974","MIR187","GPR1",34188,33122,33409,33479,30313
"34189","MFNG","MIR3975","MIR188","DDX47",34189,33123,33410,33480,30315
"34190","MFRP","MIR3976","MIR18A","IL17D",34190,33124,33411,33481,30317
"34191","MFSD13B","MIR3976HG","MIR18B","NATD1",34191,33125,33412,33482,30319
"34192","MFSD4A-AS1","MIR3977","MIR1908","LOC112268133",34192,33126,33413,33483,30321
"34193","MFSD6L","MIR3978","MIR1909","BNIP5",34193,33127,33414,33484,30323
"34194","MGAM2","MIR409","MIR190A","CTD-2154B17.1",34194,33129,33415,33485,30325
"34195","MGAT3-AS1","MIR410","MIR190B","PHF7",34195,33131,33416,33486,30327
"34196","MGAT4D","MIR411","MIR191","KLF11",34196,33132,33418,33487,30329
"34197","MGAT4EP","MIR412","MIR1910","TMEM74",34197,33133,33419,33488,30331
"34198","MGC27382","MIR421","MIR1911","LOC105371347",34198,33134,33420,33489,30333
"34199","MGC2889","MIR422A","MIR1912","TIFAB",34199,33135,33421,33490,30334
"34200","MGC32805","MIR424","MIR1913","MIR766",34200,33136,33422,33492,30334
"34201","MGC34796","MIR425","MIR1914","ARHGAP12",34201,33137,33423,33493,30336
"34202","MGC70870","MIR4251","MIR1915","SAE1",34202,33138,33424,33494,30338
"34203","MHRT","MIR4252","MIR192","MIR6747",34203,33139,33425,33495,30339
"34204","MIA","MIR4253","MIR193A","OSGIN2",34204,33140,33427,33496,30340
"34205","MIA-RAB4B","MIR4254","MIR193B","CCDC40",34205,33141,33429,33497,30342
"34206","MICOS10-NBL1","MIR4255","MIR194-1","CERNA1",34206,33142,33430,33498,30344
"34207","MIF","MIR4256","MIR194-2","IATPR",34207,33143,33431,33499,30346
"34208","MIMT1","MIR4257","MIR194-2HG","LOC107987052",34208,33145,33432,33500,30348
"34209","MINAR2","MIR4258","MIR195","RBP1",34209,33147,33433,33501,30350
"34210","MIR1-1","MIR4259","MIR196A1","PCDHAC1",34210,33148,33435,33502,30352
"34211","MIR1-1HG","MIR4260","MIR196A2","UBE2D2",34211,33149,33436,33503,30354
"34212","MIR1-1HG-AS1","MIR4261","MIR196B","ANKFN1",34212,33150,33437,33504,30356
"34213","MIR1-2","MIR4262","MIR197","MIR4759",34213,33151,33438,33505,30357
"34214","MIR100","MIR4263","MIR1972-1","LOC107986840",34214,33153,33439,33506,30359
"34215","MIR101-1","MIR4264","MIR1972-2","LOC105373909",34215,33154,33440,33507,30361
"34216","MIR101-2","MIR4265","MIR1976","RTCA",34216,33155,33441,33508,30363
"34217","MIR10392","MIR4266","MIR198","DUSP6",34217,33156,33442,33509,30365
"34218","MIR10393","MIR4267","MIR199A2","LOC100129935",34218,33157,33443,33510,30367
"34219","MIR10394","MIR4268","MIR199B","PPP4R3A",34219,33158,33444,33511,30369
"34220","MIR10396A","MIR4269","MIR19A","LOC107986763",34220,33160,33445,33512,30371
"34221","MIR10396B","MIR4270","MIR19B1","LOC101928055",34221,33161,33446,33513,30372
"34222","MIR10397","MIR4271","MIR19B2","IK",34222,33163,33447,33514,30374
"34223","MIR10399","MIR4272","MIR200A","FGF17",34223,33164,33448,33515,30376
"34224","MIR103A1","MIR4273","MIR200B","KCNQ1",34224,33165,33449,33516,30378
"34225","MIR103B1","MIR4274","MIR200C","LOC105374961",34225,33166,33450,33517,30380
"34226","MIR103B2","MIR4275","MIR200CHG","MIR5196",34226,33167,33451,33518,30381
"34227","MIR10400","MIR4276","MIR202","TMEM151A",34227,33168,33452,33519,30383
"34228","MIR105-1","MIR4277","MIR202HG","RCSD1",34228,33169,33453,33520,30385
"34229","MIR105-2","MIR4278","MIR203A","TTC39C-AS1",34229,33170,33454,33521,30387
"34230","MIR10522","MIR4279","MIR203B","TMEM223",34230,33171,33455,33522,30389
"34231","MIR10524","MIR4280","MIR204","LOC105370502",34231,33172,33456,33523,30391
"34232","MIR10526","MIR4281","MIR205","SOD2-OT1",34232,33173,33457,33524,30393
"34233","MIR106A","MIR4282","MIR2052","LOC645188",34233,33174,33458,33525,30395
"34234","MIR107","MIR4283-1","MIR2052HG","HECA",34234,33175,33459,33526,30396
"34235","MIR10B","MIR4283-2","MIR2053","MAPKAPK2",34235,33176,33460,33527,30398
"34236","MIR11181","MIR4284","MIR2054","RRM1",34236,33178,33461,33528,30400
"34237","MIR11399","MIR4285","MIR205HG","CRACR2B",34237,33179,33462,33529,30402
"34238","MIR11400","MIR4286","MIR206","REN",34238,33180,33463,33530,30404
"34239","MIR11401","MIR4287","MIR208A","COMMD2",34239,33181,33464,33531,30406
"34240","MIR1178","MIR4288","MIR208B","LINC02021",34240,33182,33465,33532,30408
"34241","MIR1179","MIR4289","MIR20A","PLD3",34241,33183,33466,33533,30410
"34242","MIR1180","MIR429","MIR20B","TMEM59L",34242,33184,33467,33534,30412
"34243","MIR1181","MIR4290","MIR21","SNORD3K",34243,33185,33468,33535,30414
"34244","MIR1182","MIR4290HG","MIR210","TMEM169",34244,33186,33469,33536,30416
"34245","MIR1183","MIR4291","MIR211","OCM2",34245,33187,33470,33537,30417
"34246","MIR1184-1","MIR4293","MIR2110","CSPP1",34246,33188,33471,33538,30419
"34247","MIR1184-2","MIR4294","MIR2113","TRIM58",34247,33189,33472,33539,30421
"34248","MIR1184-3","MIR4295","MIR2114","LOC105378141",34248,33190,33473,33540,30423
"34249","MIR1185-1","MIR4296","MIR2115","LZTS1-AS1",34249,33191,33474,33541,30425
"34250","MIR1185-2","MIR4297","MIR2116","LOC105373286",34250,33192,33476,33542,30427
"34251","MIR1193","MIR4298","MIR2117","LOC105379280",34251,33193,33477,33543,30429
"34252","MIR1197","MIR4299","MIR2117HG","LINC02487",34252,33194,33478,33544,30431
"34253","MIR1199","MIR4300","MIR212","TRIM47",34253,33195,33479,33545,30432
"34254","MIR1200","MIR4300HG","MIR214","LOC105377971",34254,33196,33480,33546,30434
"34255","MIR1202","MIR4301","MIR215","DUSP7",34255,33197,33481,33547,30436
"34256","MIR1203","MIR4302","MIR216A","LOC102723963",34256,33198,33482,33548,30437
"34257","MIR1206","MIR4303","MIR216B","IZUMO2",34257,33199,33483,33549,30439
"34258","MIR1207","MIR4304","MIR217","LOC112268246",34258,33200,33484,33550,30441
"34259","MIR1208","MIR4305","MIR217HG","LOC107984709",34259,33201,33485,33551,30443
"34260","MIR12113","MIR4306","MIR218-2","MIXL1",34260,33202,33486,33552,30445
"34261","MIR12115","MIR4307","MIR219A1","LOC105371360",34261,33203,33487,33553,30447
"34262","MIR12116","MIR4307HG","MIR219A2","CCDC15-DT",34262,33204,33488,33554,30449
"34263","MIR12117","MIR4308","MIR219B","SLC25A25-AS1",34263,33205,33489,33555,30451
"34264","MIR12118","MIR4309","MIR22","ATXN7",34264,33206,33490,33556,30453
"34265","MIR12119","MIR431","MIR223","NFIB",34265,33207,33491,33557,30455
"34266","MIR12120","MIR4310","MIR224","MIR3136",34266,33208,33492,33558,30457
"34267","MIR12121","MIR4311","MIR2276","LOC107984580",34267,33209,33493,33559,30459
"34268","MIR12123","MIR4312","MIR2277","LOC105371172",34268,33210,33494,33560,30461
"34269","MIR12125","MIR4313","MIR2278","ID2",34269,33211,33495,33561,30462
"34270","MIR12126","MIR4314","MIR2355","FGF12-AS1",34270,33212,33496,33562,30464
"34271","MIR12127","MIR4315-1","MIR2392","ATP6V1B2",34271,33213,33497,33563,30465
"34272","MIR12128","MIR4315-2","MIR23A","ARMC4P1",34272,33214,33498,33564,30466
"34273","MIR12130","MIR4316","MIR23B","GSTM2",34273,33215,33499,33565,30468
"34274","MIR12132","MIR4317","MIR23C","ADM",34274,33216,33500,33566,30470
"34275","MIR12133","MIR4318","MIR24-1","LOC105371363",34275,33217,33501,33567,30472
"34276","MIR12135","MIR4319","MIR24-2","MYO5B",34276,33219,33502,33568,30474
"34277","MIR122","MIR432","MIR2467","TATDN2",34277,33220,33503,33569,30476
"34278","MIR1225","MIR4320","MIR2681","LOC101927646",34278,33221,33504,33570,30478
"34279","MIR1226","MIR4321","MIR2682","SLC22A24",34279,33222,33506,33571,30479
"34280","MIR1227","MIR4322","MIR26A1","PLXND1",34280,33224,33507,33572,30481
"34281","MIR1228","MIR4323","MIR26A2","LOC643327",34281,33225,33509,33573,30483
"34282","MIR1229","MIR4324","MIR27A","C16orf74",34282,33227,33510,33574,30485
"34283","MIR1231","MIR4325","MIR27B","PCCA-DT",34283,33228,33511,33575,30487
"34284","MIR1233-1","MIR4326","MIR28","LINC00524",34284,33230,33512,33576,30489
"34285","MIR1233-2","MIR4327","MIR2861","LOC105376717",34285,33231,33513,33577,30491
"34286","MIR1234","MIR4328","MIR2909","LINC01303",34286,33232,33514,33578,30493
"34287","MIR1236","MIR4329","MIR297","STX16-NPEPL1",34287,33233,33515,33579,30495
"34288","MIR1237","MIR433","MIR298","FABP6",34288,33234,33516,33580,30497
"34289","MIR1238","MIR4330","MIR299","ZAP70",34289,33235,33517,33581,30499
"34290","MIR124-1","MIR4418","MIR29B2","SLC2A1",34290,33236,33518,33582,30501
"34291","MIR124-2","MIR4420","MIR29C","GYG2P1",34291,33237,33519,33583,30503
"34292","MIR124-2HG","MIR4421","MIR302A","LOC105373282",34292,33239,33520,33584,30505
"34293","MIR124-3","MIR4422","MIR302B","LOC100506188",34293,33240,33521,33585,30507
"34294","MIR1243","MIR4422HG","MIR302C","TCEANC2",34294,33241,33522,33586,30509
"34295","MIR1244-1","MIR4424","MIR302CHG","LOC105373552",34295,33242,33524,33587,30511
"34296","MIR1244-4","MIR4425","MIR302D","LOC100419583",34296,33243,33525,33588,30513
"34297","MIR1245A","MIR4427","MIR302E","LOC107987120",34297,33244,33526,33589,30514
"34298","MIR1245B","MIR4428","MIR302F","LOC107985535",34298,33245,33527,33590,30516
"34299","MIR1246","MIR4429","MIR3059","RRS1",34299,33246,33528,33591,30518
"34300","MIR1247","MIR4430","MIR3065","LOC105370919",34300,33247,33529,33592,30520
"34301","MIR1248","MIR4431","MIR3074","DEFB4B",34301,33248,33530,33593,30522
"34302","MIR1250","MIR4432","MIR3085","GCGR",34302,33249,33531,33594,30524
"34303","MIR1251","MIR4432HG","MIR30B","LOC105376892",34303,33250,33532,33595,30526
"34304","MIR1252","MIR4433A","MIR30C1","LMLN-AS1",34304,33251,33533,33596,30528
"34305","MIR1253","MIR4433B","MIR30D","PRDM16-DT",34305,33252,33534,33597,30530
"34306","MIR1255A","MIR4434","MIR30E","MIR3689E",34306,33253,33535,33598,30531
