	samp_1_DMSO	samp_2_DMSO	samp_3_DMSO	samp_4_DMSO	samp_5_DMSO	samp_6_DMSO	samp_1_calmidazolium 	samp_2_calmidazolium 	samp_3_calmidazolium 	samp_4_calmidazolium 	samp_5_calmidazolium 	samp_6_calmidazolium 	samp_1_fludrocortisone	samp_2_fludrocortisone	samp_3_fludrocortisone	samp_4_fludrocortisone	samp_5_fludrocortisone	samp_6_fludrocortisone
C19orf81	4	4	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0
C19orf84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1D	241	458	161	127	137	44	101	9	61	84	11	24	20	40	59	36	104	20
C1GALT1	212	513	271	132	119	64	117	14	52	90	49	24	22	29	106	37	119	17
C1GALT1C1	0	7	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C1GALT1C1L	11	23	3	3	11	0	0	1	0	0	0	0	1	1	0	1	5	0
C1QA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QBP	1095	2259	628	627	543	273	293	59	101	271	35	72	95	155	177	115	319	77
C1QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL1	1	10	1	5	0	1	3	0	0	1	0	1	1	3	0	0	1	1
C1QL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF1	73	107	43	28	21	22	46	2	7	35	1	1	17	12	20	10	13	9
C1QTNF1-AS1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF12	10	24	2	2	4	1	7	0	5	3	0	3	0	1	5	1	6	2
C1QTNF2	51	73	18	12	12	11	13	3	5	21	2	0	9	3	19	2	16	2
C1QTNF3	23	62	17	21	6	23	7	2	6	7	1	8	2	6	9	2	13	5
C1QTNF3-AMACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF6	161	234	27	38	33	23	70	7	8	33	0	6	10	10	7	7	12	16
C1QTNF7	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C1QTNF7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF9B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1R	10	17	2	1	2	1	2	3	1	1	0	0	1	1	0	1	0	0
C1RL	2	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0
C1RL-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C1S	2290	4528	945	1082	486	862	1019	152	193	800	85	241	223	415	339	235	288	263
C1orf100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf109	89	229	48	50	38	33	34	8	11	65	5	8	14	32	28	12	37	8
C1orf112	52	128	28	31	54	13	13	0	6	10	1	2	8	18	15	2	39	13
C1orf115	39	35	59	14	2	2	5	0	28	4	1	0	2	1	32	4	15	3
C1orf116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf122	1418	2759	783	842	557	277	481	78	132	489	66	74	156	201	225	174	309	115
C1orf127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf131	177	236	113	94	67	41	67	5	8	36	10	11	18	27	39	19	20	10
C1orf141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	42	116	66	38	29	27	17	10	5	14	0	4	12	7	11	5	19	3
C1orf162	9	10	2	7	4	4	20	1	2	11	2	0	1	3	2	3	2	2
C1orf167	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
C1orf167-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf174	160	475	123	155	129	52	86	15	21	66	13	35	23	28	26	24	43	16
C1orf185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf194	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C1orf195	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
C1orf198	331	547	275	188	125	132	213	25	59	176	22	42	28	33	56	32	54	31
C1orf21	387	674	293	145	107	64	164	11	62	100	13	19	34	60	161	50	122	20
C1orf210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf216	109	136	62	49	31	18	58	4	7	28	5	7	9	12	17	10	22	7
C1orf220	26	0	2	6	5	0	4	0	1	0	0	1	0	2	0	0	0	1
C1orf226	8	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C1orf229	7	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0
C1orf232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf35	208	472	125	133	116	44	102	13	17	59	2	13	16	19	35	29	69	16
C1orf43	1276	2246	760	693	524	311	623	65	183	605	48	136	116	241	309	176	367	105
C1orf50	141	229	105	77	107	34	87	12	26	92	10	8	21	24	32	12	50	17
C1orf52	216	466	157	122	107	43	204	23	54	129	19	36	28	35	67	22	82	10
C1orf53	87	147	70	47	35	28	42	2	10	17	1	6	15	10	25	6	16	5
C1orf54	83	150	10	70	8	6	62	5	3	38	2	6	10	27	11	12	16	5
C1orf56	29	72	20	27	9	5	15	3	9	9	0	2	5	9	8	9	7	1
C1orf61	0	16	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0
C1orf68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf74	55	44	23	22	22	8	3	2	2	1	0	9	0	5	2	7	14	1
C1orf87	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
C1orf94	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
C2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf141	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
C20orf144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
C20orf173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf194	289	524	126	148	143	49	122	11	39	91	16	20	33	64	54	50	52	16
C20orf197	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C20orf202	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
C20orf203	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C20orf204	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0
C20orf27	401	757	193	184	178	111	107	26	31	115	22	16	35	78	73	53	99	22
C20orf85	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf96	10	66	7	10	12	6	5	1	4	12	0	3	0	6	7	0	7	1
C21orf58	83	206	53	55	49	16	24	7	12	18	1	5	2	12	22	7	29	9
C21orf62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf62-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf91	46	201	41	54	45	16	57	5	8	41	6	5	6	7	13	10	26	1
C21orf91-OT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf23	3	7	3	0	1	2	1	0	0	0	3	0	1	0	1	0	0	0
C22orf24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf31	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0
C22orf34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf39	234	427	155	100	111	24	125	7	31	63	17	13	20	37	26	21	63	19
C22orf42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf46	117	151	84	60	41	24	56	3	16	20	3	12	13	13	22	10	24	9
C2CD2	507	881	318	247	157	122	312	36	66	229	34	35	44	67	94	46	168	39
C2CD2L	40	72	26	39	26	12	46	7	17	51	3	11	7	17	2	5	21	3
C2CD3	83	106	60	35	27	18	53	4	14	14	4	5	2	9	18	9	15	6
C2CD4A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C2CD4B	0	1	0	0	1	0	4	0	3	2	0	0	1	0	0	0	2	0
C2CD4C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2CD4D	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C2CD4D-AS1	15	10	2	1	0	0	1	1	0	3	0	0	1	0	0	2	0	1
C2CD5	72	130	29	64	32	18	45	5	11	32	1	6	9	11	19	8	25	0
C2CD6	25	50	4	16	17	3	4	3	3	5	1	1	1	7	1	1	16	2
C2orf15	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C2orf16	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf27A	2	5	3	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0
C2orf27B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf42	90	152	29	39	36	16	32	0	13	50	7	9	7	8	8	9	13	5
C2orf49	172	340	126	110	86	30	69	17	23	67	18	9	7	28	43	27	40	13
C2orf50	1	1	0	0	1	1	0	0	0	4	0	0	0	0	0	0	6	0
C2orf66	11	13	3	2	4	4	2	3	0	6	0	0	0	1	0	0	1	0
C2orf68	217	417	73	97	69	49	74	8	27	65	10	10	25	23	56	13	66	14
C2orf69	323	685	183	196	177	93	163	19	40	94	19	34	32	59	89	30	116	29
C2orf72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf73	0	9	1	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0
C2orf74	59	213	82	71	48	11	14	1	16	23	5	17	3	24	22	21	47	11
C2orf76	87	123	79	36	29	14	20	3	2	23	4	1	12	13	28	13	15	9
C2orf78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf81	99	103	16	28	15	4	17	2	1	19	4	6	6	10	4	5	12	1
C2orf83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf88	26	80	48	13	23	7	3	0	6	10	3	2	1	9	11	11	2	2
C2orf91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf92	6	17	2	0	3	0	10	0	0	6	0	0	1	1	2	0	4	1
C3	53	100	16	26	16	41	11	4	11	32	11	20	7	14	4	7	17	7
C3AR1	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
C3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf14	236	750	147	122	124	63	94	22	19	83	8	23	28	60	42	33	92	25
C3orf18	295	305	83	91	84	39	46	8	17	54	14	11	16	16	27	23	44	8
C3orf20	25	13	5	1	3	2	14	0	1	0	2	0	0	2	1	2	6	0
C3orf22	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf33	31	33	31	37	11	14	7	0	5	4	1	3	5	3	6	1	7	3
C3orf35	3	8	5	3	0	4	3	2	2	1	3	1	0	0	0	0	0	0
C3orf36	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
C3orf38	201	330	81	100	50	30	74	7	25	80	13	14	32	35	41	22	76	13
C3orf49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf52	0	1	0	0	5	0	3	0	2	0	0	0	0	1	5	0	0	0
C3orf56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf62	44	32	15	27	9	4	31	5	3	9	2	3	5	8	13	2	12	2
C3orf67	20	65	7	18	8	4	6	1	4	8	2	2	3	4	8	3	3	2
C3orf67-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf70	16	26	5	14	18	1	7	1	0	13	0	0	1	0	0	1	1	0
C3orf80	31	84	30	28	7	24	4	11	9	55	0	9	1	3	5	1	4	0
C3orf84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4A	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4B_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
C4orf3	3299	5080	1585	1580	1026	561	908	117	340	805	109	165	310	464	564	324	764	159
C4orf33	43	106	54	37	43	8	8	4	4	21	3	2	7	14	10	4	26	9
C4orf36	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C4orf45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf46	112	239	102	57	61	39	44	6	13	23	15	12	7	23	37	10	36	17
C4orf47	0	1	0	0	0	2	1	0	0	0	0	2	0	0	2	0	0	0
C4orf48	2478	3670	1559	1156	925	481	711	112	257	594	120	129	200	227	456	283	578	135
C4orf50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf51	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C4orf54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	8	19	6	5	8	1	3	0	1	6	0	1	2	2	2	1	7	0
C5-OT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5AR1	3	4	1	4	1	0	3	1	0	2	0	0	0	0	1	0	3	0
C5AR2	8	29	8	11	7	5	14	2	0	4	0	0	3	23	6	5	23	14
C5orf15	729	1213	561	352	300	128	276	50	80	241	37	31	72	119	146	84	204	58
C5orf17	0	18	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0
C5orf22	96	216	52	48	71	24	69	7	15	24	11	20	17	13	17	7	21	4
C5orf24	945	1634	501	519	384	231	312	48	126	380	45	64	96	173	210	104	297	62
C5orf34	21	44	21	13	9	10	11	1	6	6	0	3	1	5	4	5	1	1
C5orf34-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf38	195	243	82	77	69	23	97	4	19	80	9	9	14	18	36	19	40	13
C5orf46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf49	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf51	75	130	67	45	19	14	17	8	20	27	3	7	5	23	47	10	19	4
C5orf52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf63	18	34	37	9	9	1	3	1	7	2	0	3	1	2	10	2	7	1
C5orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf64-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf66	2	5	0	0	2	0	0	1	0	1	0	0	1	0	0	0	3	0
C5orf66-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf66-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf118	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf120	465	813	202	309	170	100	128	21	23	173	22	26	61	102	83	62	132	18
C6orf132	53	120	27	29	48	13	18	7	12	13	4	5	11	12	11	7	46	7
C6orf136	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0
C6orf141	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
C6orf15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf163	1	3	9	6	2	3	0	0	0	0	0	0	0	1	4	0	0	0
C6orf201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf226	190	216	71	98	45	31	59	6	7	38	5	1	12	26	20	16	32	11
C6orf47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C6orf58	7	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
C6orf62	2042	3906	1348	1156	865	447	920	129	189	770	131	163	210	351	438	223	652	173
C6orf89	1107	1856	680	474	403	192	336	52	127	342	42	93	121	168	217	123	300	73
C6orf99	0	24	0	3	1	2	0	0	0	1	0	0	0	2	0	0	2	0
C7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf25	152	327	58	46	66	35	46	5	17	29	8	23	8	23	28	9	57	17
C7orf26	256	458	134	165	103	54	197	14	34	140	17	38	29	26	55	21	94	18
C7orf31	21	24	14	5	10	0	3	2	0	5	3	1	3	2	2	3	8	2
C7orf33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf50	934	1315	421	426	332	111	229	38	101	223	25	35	69	139	213	99	285	42
C7orf57	0	1	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0
C7orf61	5	16	18	8	3	2	9	2	0	10	2	2	1	1	2	1	1	0
C7orf65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf66	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0
C7orf69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8B	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8G	4	7	0	6	0	6	4	0	8	0	0	0	0	3	0	1	0	0
C8orf31	17	2	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2
C8orf33	750	1344	452	351	258	122	248	31	87	235	38	52	52	122	192	74	183	37
C8orf34	2	27	6	3	16	0	0	0	0	0	0	1	0	0	1	0	3	0
C8orf34-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf37	4	8	6	3	13	3	1	2	6	12	0	3	1	3	0	0	1	1
C8orf37-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf44	17	24	6	11	11	7	3	2	1	1	0	2	1	6	1	2	7	3
C8orf44-SGK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf48	34	92	37	42	23	16	5	2	9	16	2	3	7	5	7	4	52	4
C8orf49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf58	123	175	72	44	56	38	51	3	15	29	2	9	10	7	28	19	31	14
C8orf74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf76	149	287	65	109	43	27	88	8	33	66	13	25	19	22	32	18	46	14
C8orf82	399	652	221	174	106	84	261	20	50	136	16	51	43	90	74	38	74	37
C8orf86	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0
C8orf87	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf88	31	164	43	16	55	17	32	4	12	25	2	5	1	10	14	9	37	5
C8orf89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
C9	0	0	0	0	0	0	7	0	0	6	0	2	0	0	0	0	5	0
C9orf106	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
C9orf116	105	200	66	38	10	16	25	5	11	28	6	4	8	7	7	6	23	9
C9orf129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf135	1	9	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
C9orf135-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf147	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C9orf152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf153	0	8	3	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0
C9orf16	761	1392	433	365	252	139	291	40	122	247	22	35	84	134	146	91	170	38
C9orf163	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	1	0
C9orf24	3	33	0	3	2	0	1	0	0	0	0	0	0	0	0	1	6	0
C9orf40	158	375	65	92	79	33	33	7	15	38	9	16	16	33	30	26	55	11
C9orf43	0	1	0	0	0	2	0	0	0	0	1	0	0	1	2	0	1	0
C9orf47	1	2	0	0	1	0	2	0	0	1	0	0	0	0	1	1	0	2
C9orf50	3	8	0	4	2	1	0	0	1	1	0	0	0	0	2	0	2	0
C9orf57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf64	118	237	61	61	59	26	31	4	17	28	4	14	9	12	35	12	32	6
C9orf72	14	29	10	21	13	5	27	3	7	11	2	3	5	12	5	7	26	1
C9orf78	927	1933	650	553	404	236	287	56	149	342	53	78	102	208	240	113	298	73
C9orf85	149	183	88	88	45	21	27	13	13	64	4	11	11	18	29	27	22	5
C9orf92	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA11	49	30	11	31	29	7	13	3	4	6	2	2	6	5	8	2	3	0
CA12	629	749	286	331	115	93	216	28	83	238	34	47	72	83	120	79	107	24
CA13	13	27	14	7	3	3	12	1	0	1	1	2	0	1	7	1	6	0
CA14	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CA2	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CA3	0	1	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0
CA3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA5A	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CA5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA5BP1	52	55	11	22	21	11	15	3	6	21	0	3	9	0	13	9	11	3
CA5BP1-CA5B	0	7	0	0	1	1	0	0	0	9	1	1	0	0	0	0	1	0
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CA8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAAP1	136	241	100	64	52	27	62	5	13	42	8	9	13	20	36	12	22	6
CAB39	380	699	249	188	167	88	182	22	57	109	33	55	38	59	82	51	142	26
CAB39L	120	198	69	50	57	17	53	6	16	66	4	11	9	25	37	12	32	12
CABCOCO1	7	31	3	13	3	1	3	1	3	3	0	2	1	1	13	2	4	3
CABIN1	338	642	121	203	142	66	163	15	32	130	13	25	36	84	85	43	145	16
CABLES1	175	172	132	96	91	18	105	4	42	69	20	12	10	16	27	12	41	9
CABLES2	50	125	17	28	29	8	14	8	2	35	1	0	3	11	5	5	33	7
CABP1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1
CABP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABYR	51	61	25	30	14	6	4	2	6	11	4	3	6	8	16	6	23	2
CACFD1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CACHD1	56	55	57	20	24	11	27	2	10	29	1	2	4	6	41	8	17	4
CACNA1A	135	370	107	68	78	27	70	12	42	65	7	10	7	28	62	13	38	12
CACNA1B	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	2	7	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C-AS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C-IT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C-IT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1D	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CACNA1F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1G	47	96	34	45	7	23	10	2	9	18	1	3	2	13	15	4	5	8
CACNA1G-AS1	0	6	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
CACNA1H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CACNA1I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D1	228	478	166	115	89	70	115	21	26	106	18	14	30	52	113	38	77	35
CACNA2D1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
