	samp_1_DMSO	samp_2_DMSO	samp_3_DMSO	samp_4_DMSO	samp_5_DMSO	samp_6_DMSO	samp_1_calmidazolium 	samp_2_calmidazolium 	samp_3_calmidazolium 	samp_4_calmidazolium 	samp_5_calmidazolium 	samp_6_calmidazolium 	samp_1_fludrocortisone	samp_2_fludrocortisone	samp_3_fludrocortisone	samp_4_fludrocortisone	samp_5_fludrocortisone	samp_6_fludrocortisone
FAM27E5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM30A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM30B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM30C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM32A	802	784	1099	443	823	476	604	802	409	675	460	299	2106	1315	338	1471	2109	815
FAM3A	371	355	525	187	273	287	360	408	235	374	254	241	886	774	91	829	983	527
FAM3B	0	0	0	1	1	1	0	0	0	2	2	0	0	0	0	1	0	0
FAM3C	133	207	474	69	134	162	94	228	123	157	133	109	338	442	103	349	652	277
FAM3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM3D-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM41AY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM41AY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM41C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM43A	73	85	192	51	56	109	88	197	99	189	115	150	473	321	33	458	455	219
FAM43B	0	18	14	4	12	7	4	20	2	5	14	1	10	59	5	35	34	27
FAM47A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47E	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
FAM47E-STBD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM50A	1048	1224	2212	586	1207	769	974	1695	1180	1195	1234	567	2704	2912	385	2512	3894	1550
FAM50B	5	27	80	23	43	12	5	23	8	37	20	23	36	73	13	150	143	46
FAM53A	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	3	3
FAM53B	82	88	132	62	67	57	54	106	45	82	61	29	270	218	37	242	260	188
FAM53B-AS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
FAM53C	172	174	354	89	177	126	315	346	156	370	261	145	559	426	41	456	659	239
FAM66A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM66B	1	0	0	1	1	2	0	1	0	0	0	0	1	1	0	0	4	0
FAM66C	3	2	3	1	0	0	3	1	2	3	3	0	7	1	1	6	2	2
FAM66D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM66E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
FAM71B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71E1	3	1	4	0	3	0	5	4	2	6	2	1	9	4	0	9	9	5
FAM71E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71F1	1	1	2	1	0	1	1	0	1	4	0	0	4	4	2	1	12	1
FAM71F2	2	14	20	0	4	1	3	5	5	3	3	1	6	13	1	5	18	2
FAM72A	0	0	0	0	0	1	0	2	1	2	1	0	2	2	0	1	0	2
FAM72B	0	0	4	0	0	1	0	1	0	0	2	0	0	0	0	3	6	1
FAM72C	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	1	3	2
FAM72D	2	0	5	1	1	1	1	7	2	2	2	2	4	5	0	6	11	3
FAM74A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM76A	158	122	187	70	130	97	147	154	83	193	105	78	335	241	47	325	391	148
FAM76B	29	46	60	17	39	31	31	86	14	39	34	27	126	106	13	106	126	56
FAM78A	10	5	12	3	6	3	7	9	4	11	4	6	13	12	3	15	16	3
FAM78B	2	2	7	0	0	0	0	3	0	3	2	0	3	5	0	5	9	4
FAM78B-AS1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
FAM81A	3	7	13	2	2	1	2	7	2	3	4	4	3	17	0	5	9	8
FAM81B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FAM83A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	2	0
FAM83B	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
FAM83C	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	3	4	1
FAM83C-AS1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM83D	38	60	105	17	83	71	17	47	36	43	73	23	143	134	17	135	405	95
FAM83E	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0
FAM83F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
FAM83G	107	136	390	94	336	159	262	411	293	278	354	164	251	332	42	341	1032	277
FAM83H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FAM83H-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM85A	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1
FAM85B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FAM86B1	6	3	11	3	6	0	0	2	4	13	0	2	17	10	0	9	8	3
FAM86B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM86B3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM86C1	24	17	27	11	20	14	17	27	22	21	16	10	54	43	3	49	68	25
FAM86C2P	12	8	8	6	9	6	12	17	4	9	5	5	18	19	1	28	29	5
FAM86DP	6	0	0	0	1	0	0	0	3	1	0	0	2	1	0	6	3	0
FAM86EP	10	8	11	4	16	8	10	17	3	8	4	4	33	25	3	27	50	10
FAM86FP	41	2	13	11	10	2	31	2	6	44	6	3	159	13	1	53	23	3
FAM86HP	4	3	5	4	7	3	3	6	4	3	7	4	8	5	1	6	14	4
FAM86JP	13	1	13	3	5	0	8	2	4	9	10	1	24	7	0	31	18	1
FAM87A	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	1	1	0
FAM87B	9	20	29	10	10	7	15	36	13	29	7	13	11	26	2	16	14	14
FAM89A	24	13	35	11	16	23	51	29	19	44	15	27	74	38	7	64	50	24
FAM89B	819	701	1622	506	684	800	745	1190	910	1196	741	727	2174	1957	213	2231	2381	1391
FAM8A1	146	133	237	83	109	84	141	165	77	196	96	69	405	279	38	374	377	154
FAM90A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
FAM90A10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A25P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A27P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM91A1	82	97	228	55	123	107	116	167	62	201	130	82	302	249	28	329	450	153
FAM92A	123	122	202	56	124	77	111	111	53	117	105	88	383	232	29	286	376	135
FAM92A1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM92B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM95A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM95B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM95C	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
FAM98A	501	491	780	275	518	287	459	577	255	593	460	218	1049	1094	118	1209	1752	531
FAM98B	162	146	283	87	180	89	124	176	62	157	158	66	452	376	45	404	643	167
FAM98C	99	81	115	35	76	26	88	102	60	91	67	19	224	164	28	154	178	71
FAM99A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM9A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM9B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM9C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FAN1	1	2	15	0	2	2	2	2	0	6	9	5	14	9	0	22	15	5
FANCA	39	62	88	16	47	32	26	66	36	27	45	20	101	122	9	99	201	61
FANCB	10	16	23	4	28	15	10	14	10	23	30	14	39	34	3	68	83	23
FANCC	20	20	25	19	24	18	17	26	6	18	21	18	57	38	4	51	106	46
FANCD2	77	97	133	27	108	57	76	66	34	56	68	36	250	202	22	170	382	104
FANCD2OS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANCE	35	29	37	24	37	27	45	44	22	41	41	27	90	66	8	76	153	54
FANCF	42	30	42	15	29	15	19	23	9	42	32	18	113	68	8	99	114	32
FANCG	64	63	122	47	68	59	81	93	52	115	104	69	243	208	20	196	354	93
FANCI	100	133	263	60	116	103	104	145	76	108	124	56	301	345	45	255	487	169
FANCL	26	30	47	14	27	20	33	44	14	29	26	27	54	69	6	76	90	32
FANCM	32	51	56	23	41	43	29	32	20	35	60	22	79	128	10	99	194	55
FANK1	6	5	33	9	11	14	12	21	10	13	21	23	28	35	5	28	54	14
FANK1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAP	523	1072	1440	329	393	546	686	1642	427	917	597	599	1599	2610	261	1526	1597	1148
FAR1	119	122	213	80	156	115	130	157	68	130	144	65	371	322	34	355	568	173
FAR2	27	9	42	14	11	9	20	23	9	24	22	12	82	62	4	55	83	25
FAR2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR2P2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	1	0
FARP1	899	689	2151	498	987	600	629	954	980	813	902	498	2234	1849	358	2197	3927	1225
FARP2	25	12	45	6	21	20	26	31	25	31	20	15	72	45	2	50	66	34
FARS2	123	151	264	78	122	79	147	170	87	185	128	67	353	280	31	408	436	150
FARSA	289	221	641	185	289	218	396	517	326	539	408	271	844	830	49	1097	1278	456
FARSA-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARSB	499	580	716	227	550	347	422	549	230	463	454	224	1274	1069	134	1037	1788	579
FAS	97	122	230	55	99	79	138	161	54	193	162	95	361	355	31	394	595	155
FAS-AS1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
FASLG	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	2	0
FASN	451	455	809	331	450	294	513	864	594	616	620	216	1523	1245	150	1492	2116	647
FASTK	195	204	363	106	144	130	196	286	178	305	149	153	653	520	54	627	583	229
FASTKD1	54	51	68	53	60	40	40	45	17	48	36	13	114	126	12	135	206	73
FASTKD2	137	152	233	85	144	112	172	213	71	163	145	86	416	335	32	359	579	154
FASTKD3	16	24	43	15	27	25	26	36	14	32	16	14	88	59	6	71	101	35
FASTKD5	34	42	94	22	53	35	68	68	45	82	72	60	172	127	14	146	241	81
FAT1	299	369	1473	269	530	445	227	487	406	447	491	394	704	947	211	965	2372	936
FAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT3	14	1	45	11	25	7	6	16	10	4	25	8	34	30	9	26	66	15
FAT4	37	29	67	25	57	55	12	45	26	48	47	31	180	124	25	216	518	98
FATE1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAU	5666	3954	6573	2675	4144	3304	6494	5223	3441	6598	4264	3516	16779	9370	1072	12555	14082	5836
FAXC	2	7	4	2	5	3	4	9	1	1	3	5	5	5	0	5	13	9
FAXDC2	42	51	63	30	30	24	53	48	28	56	30	14	147	140	15	103	93	36
FBF1	22	49	45	16	21	14	10	51	14	14	27	6	38	70	3	44	104	34
FBH1	461	477	932	196	465	340	440	725	421	575	532	274	1167	1111	125	1049	1653	564
FBL	4	2	7	1	4	6	246	7	4	7	2	2	11	13	0	9	9	4
FBLIM1	517	427	1031	269	599	356	467	712	411	694	603	367	1423	1119	134	1337	2311	715
FBLL1	6	7	6	2	4	2	10	18	5	0	6	4	17	29	0	7	22	8
FBLN1	1390	4622	8067	1249	2041	4882	2042	6840	3493	3021	2610	4102	3909	12255	1569	4766	10371	11068
FBLN2	462	873	2095	288	700	936	574	1509	730	675	908	762	1519	2868	254	1268	3344	2088
FBLN5	882	1316	5375	740	1848	1134	971	1948	1803	1915	2448	1284	3649	6031	976	5423	12420	3062
FBLN7	44	44	151	10	29	64	36	72	57	53	36	54	87	137	22	87	129	94
FBN1	4430	3871	5982	2066	4062	3665	2744	3795	1441	3401	2618	2559	12815	9438	1567	8590	16206	7819
FBN2	291	4	11	106	30	2	149	10	4	184	22	12	828	19	1	529	155	5
FBN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
FBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBRS	149	199	454	85	213	147	187	304	210	242	318	122	525	427	55	488	889	260
FBRSL1	62	65	116	30	55	52	44	72	31	50	72	30	136	144	17	136	293	97
FBXL12	96	64	148	38	82	57	133	160	61	149	109	72	305	193	12	214	311	92
FBXL13	2	1	5	0	2	3	1	5	4	5	4	4	5	11	1	10	11	8
FBXL14	2	2	0	1	0	2	3	3	2	1	2	6	3	3	1	3	6	1
FBXL15	133	118	250	48	91	87	160	161	155	149	102	57	390	303	28	324	397	172
FBXL16	1	1	5	0	1	1	0	0	5	0	2	1	1	3	1	5	8	1
FBXL17	136	102	278	90	99	102	99	118	66	154	81	66	402	219	52	360	383	141
FBXL18	153	170	310	104	165	121	93	203	152	168	131	60	379	385	61	385	589	184
FBXL19	65	98	139	49	122	42	37	143	48	40	56	27	152	167	38	154	246	84
FBXL19-AS1	3	16	12	1	10	5	6	9	11	12	2	6	10	24	5	10	29	3
FBXL2	11	8	5	2	17	6	12	19	1	13	20	6	31	25	2	22	64	11
FBXL20	57	51	152	24	44	40	60	100	41	90	79	46	216	184	20	192	212	85
FBXL21P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL22	15	12	7	4	5	4	11	9	1	8	1	1	22	17	3	14	9	9
FBXL3	143	102	258	66	143	108	201	183	69	234	163	147	652	332	52	501	655	247
FBXL4	48	59	105	36	51	48	48	74	28	81	51	35	217	112	20	175	209	64
FBXL5	390	348	685	219	341	181	487	458	220	467	354	186	1164	857	86	1050	1205	352
FBXL6	0	2	0	0	0	1	1	0	0	0	2	0	0	0	0	3	0	0
FBXL7	72	71	205	44	56	64	94	171	69	146	105	67	215	172	16	213	259	102
FBXL8	39	34	44	7	19	11	13	22	15	18	13	7	75	60	4	35	49	25
FBXO10	17	22	35	22	25	6	20	23	25	26	12	12	62	52	11	78	76	22
FBXO11	239	178	364	98	222	146	261	348	107	311	337	133	547	394	50	495	743	206
FBXO15	1	2	1	1	1	0	6	2	1	1	0	0	10	5	0	4	1	0
FBXO16	2	1	0	6	6	1	7	2	0	6	2	1	8	5	0	5	3	0
FBXO17	2	0	3	0	0	2	1	0	0	7	0	0	2	1	0	1	3	0
FBXO2	4	3	9	7	7	6	11	13	3	15	13	7	13	21	0	39	42	5
FBXO21	175	145	228	63	157	108	131	167	60	173	139	93	548	287	39	345	572	171
FBXO22	153	179	244	123	182	88	178	197	96	287	158	85	519	381	28	585	587	148
FBXO24	0	2	1	3	0	1	0	3	1	0	0	0	1	0	0	0	0	1
FBXO25	360	197	397	121	269	205	379	335	190	398	273	213	1115	668	61	789	956	463
FBXO27	30	31	64	18	50	7	23	43	16	42	51	10	79	71	9	108	154	14
FBXO28	128	116	192	89	110	98	155	199	81	234	180	120	387	225	42	327	540	156
FBXO3	74	56	151	36	72	53	96	69	29	112	60	45	287	165	15	286	327	104
FBXO3-DT	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
FBXO30	64	49	141	37	79	40	122	103	37	146	101	69	194	134	13	203	272	71
FBXO31	219	210	386	123	169	166	288	342	191	333	193	164	694	520	66	690	742	337
FBXO32	209	429	1598	264	277	291	408	1835	781	748	577	462	485	1015	286	996	892	1316
FBXO33	150	222	404	90	240	141	265	284	167	332	288	128	562	451	77	533	861	258
FBXO34	66	73	94	23	48	35	81	146	40	119	91	48	191	201	11	152	214	59
FBXO36	27	19	48	5	23	4	29	26	10	22	24	2	92	54	4	43	104	24
FBXO38	71	70	126	38	60	36	94	91	30	99	64	50	255	175	24	208	347	86
FBXO39	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FBXO4	66	38	76	31	37	40	73	65	14	90	55	33	221	163	16	172	207	83
FBXO40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO41	8	8	25	4	17	5	5	7	2	8	9	5	11	26	8	20	46	9
FBXO42	81	76	153	49	70	89	125	137	62	124	134	91	484	307	32	381	490	249
FBXO43	4	4	7	0	2	4	3	8	1	2	8	4	8	11	0	8	23	9
FBXO44	19	21	49	18	20	6	16	54	36	40	28	7	50	68	21	60	89	24
FBXO45	79	86	174	43	83	92	88	124	47	106	90	78	261	190	22	231	357	142
FBXO46	36	25	64	19	28	25	52	51	27	54	45	35	107	89	5	123	178	63
FBXO47	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FBXO48	29	22	46	14	29	21	16	37	25	26	22	6	56	64	0	71	74	24
FBXO5	60	72	153	34	97	109	89	104	58	64	85	58	198	203	22	175	377	119
FBXO6	41	22	110	18	32	24	30	43	50	45	26	24	105	91	8	70	108	37
FBXO7	514	429	899	251	487	428	516	616	354	762	546	418	1456	1030	112	1453	1930	691
FBXO8	49	59	86	27	47	35	72	63	33	100	76	44	192	113	12	190	227	51
FBXO9	296	388	717	179	411	209	263	362	217	306	307	135	802	685	145	668	1129	368
FBXW10	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	4	0
FBXW11	276	189	558	131	271	195	254	374	210	446	289	147	873	559	71	810	1089	421
FBXW12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW2	178	198	291	120	205	96	147	236	109	185	124	87	500	359	58	460	557	209
FBXW4	150	160	360	62	195	98	102	241	121	172	180	69	506	493	37	416	729	193
FBXW4P1	4	4	3	2	2	1	2	5	0	0	2	2	6	4	0	3	4	3
FBXW5	1076	1041	1914	541	1090	750	1089	1779	1167	1222	1223	683	3155	2617	332	2442	3687	1450
FBXW7	211	268	382	127	218	143	267	362	125	222	247	123	650	507	195	604	777	276
FBXW7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW8	106	145	217	49	140	107	89	186	92	92	137	67	274	315	53	210	480	198
FBXW9	87	55	95	34	37	50	95	103	51	62	62	43	228	172	14	120	168	97
FCAMR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCER1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCER1G	4	7	16	0	1	2	3	0	0	3	0	0	9	14	0	11	9	3
FCER2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
FCF1	289	370	434	192	397	187	199	320	124	233	199	82	685	555	115	526	872	297
FCF1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGBP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FCGR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR1CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR2A	2	0	0	0	0	0	1	0	0	1	0	0	3	0	0	1	0	0
FCGR2B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
FCGR2C	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	1	0	0
FCGR3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGRT	776	817	1591	388	533	773	1128	1403	747	1266	721	701	2011	2234	236	1992	1896	1530
FCHO1	2	3	3	0	5	0	1	6	2	18	5	0	5	6	0	6	26	2
FCHO2	113	93	223	45	109	60	107	125	79	135	127	72	396	256	44	248	478	133
FCHSD1	36	71	112	16	47	23	52	76	64	46	49	33	82	119	24	82	215	44
FCHSD2	86	93	187	36	92	61	66	103	56	89	102	37	226	183	41	197	304	105
FCMR	40	17	22	22	10	15	45	40	8	78	19	15	114	59	6	107	52	21
FCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FCRL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRLA	29	18	42	9	14	22	33	17	12	33	25	13	114	24	9	40	57	37
FCRLB	47	17	77	13	35	22	53	31	19	45	34	21	101	49	3	80	129	41
FCSK	47	38	67	28	22	15	35	40	13	40	27	8	106	69	19	79	79	27
FDCSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDFT1	6	8	8	2	6	4	9	7	2	13	4	4	16	11	2	12	41	5
FDPS	1273	1223	1846	678	1245	616	1480	1805	811	1520	1009	483	3404	2687	408	2709	3944	1209
FDPSP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FDX1	104	122	229	54	145	67	138	163	62	164	122	84	426	270	29	387	603	156
FDX2	503	435	988	371	485	251	619	686	463	791	428	206	1224	965	142	1308	1458	422
FDXACB1	10	18	21	18	14	13	12	12	8	10	8	6	46	40	2	52	68	17
FDXR	295	235	133	152	98	69	308	223	73	279	72	54	677	414	43	469	288	105
FECH	145	82	137	61	72	90	124	74	43	115	83	73	432	208	29	304	290	125
FEM1A	126	93	239	61	139	82	186	197	123	180	181	81	375	280	44	312	504	204
FEM1B	201	181	396	137	224	184	530	417	168	514	402	294	890	459	72	766	898	436
FEM1C	140	85	228	99	132	90	177	205	78	238	176	121	371	291	38	446	612	163
FEN1	197	339	555	155	333	254	190	336	213	168	294	144	480	633	70	490	1025	468
FENDRR	1	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	4	1
FER	185	203	358	96	227	155	131	253	123	231	234	171	435	380	71	392	748	266
FER1L4	0	2	0	0	0	1	0	1	1	0	0	0	1	4	0	0	0	0
FER1L5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6	10	4	4	11	6	1	12	8	5	20	4	8	14	6	3	17	11	3
FER1L6-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERD3L	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
FERMT1	27	40	51	14	17	22	26	28	12	24	13	4	59	45	1	53	48	15
FERMT2	490	556	1332	252	750	649	695	936	484	703	904	581	2069	1757	299	1733	3213	1522
FERMT3	5	7	16	0	9	4	6	10	6	6	9	7	13	11	3	3	9	2
FES	78	54	83	21	34	22	53	61	22	66	33	19	222	134	3	137	123	47
FETUB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZ1	370	248	647	179	227	169	384	395	203	499	216	206	1104	687	83	887	933	339
FEZ2	732	831	2114	469	1208	523	691	911	610	931	1123	466	2405	1762	348	2039	4377	942
FEZF1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FEZF1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZF2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	2	3	0
FFAR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD1	136	126	184	78	130	97	107	234	96	135	131	79	237	256	26	270	354	165
FGD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
FGD4	19	9	23	2	5	4	15	9	9	7	16	12	481	177	30	211	380	212
FGD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD5-AS1	419	356	699	251	301	221	377	368	181	504	281	203	1435	859	112	1251	1221	446
FGD5P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD6	39	19	71	30	30	16	23	51	28	42	10	10	37	37	5	19	32	15
FGF1	40	32	111	20	67	52	27	38	37	46	69	50	121	65	22	93	266	70
FGF10	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
FGF10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF12	0	1	1	1	1	0	0	0	0	1	1	0	4	0	0	4	1	0
FGF12-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF12-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF13	23	17	5	10	79	11	34	22	2	14	49	17	87	42	2	32	204	21
FGF13-AS1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1
FGF14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FGF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
